"word","totalCount","readFreq","deleteFreq"," followUpFreq"
"",6,0.0100475938656795,0.00597014925373134,0.0111856823266219
"-",11,1,0.00447761194029851,1
"
",11,1,0.00447761194029851,1
"

",20,0.00528820729772607,0.0082089552238806,0.0178970917225951
"



",2,0.00846113167636171,0.000746268656716418,0.00894854586129754
"




cibc",11,1,0.00447761194029851,1
"


*you",11,1,0.00447761194029851,1
"


best",11,1,0.00447761194029851,1
"

at",1,0.000528820729772607,1,1
"

emily",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"

i",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"

it",1,0.000528820729772607,1,1
"

please",1,1,1,0.00223713646532438
"

regards,

",11,0.000528820729772607,1,0.00223713646532438
"

remy",1,0.000528820729772607,1,1
"

should",1,0.000528820729772607,1,1
"

sophie",1,1,1,0.00223713646532438
"

t:",29,0.00793231094658911,0.000746268656716418,0.00894854586129754
"

thanks,",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"

this",3,0.00846113167636171,0.000746268656716418,0.0134228187919463
"

w:",29,0.00793231094658911,0.000746268656716418,0.00894854586129754
"
________________________________

",21,1,0.0082089552238806,1
"
cibc",11,1,0.00447761194029851,1
"
requisition",11,1,0.00447761194029851,1
"
to",11,1,0.00447761194029851,1
"
we",11,1,0.00447761194029851,1
"(0)",11,0.000528820729772607,1,0.00223713646532438
"(631)",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"(814)",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"(gorm)",1,1,0.000746268656716418,1
",",11,1,0.00447761194029851,1
".

thank",11,1,0.00447761194029851,1
"@migena",1,0.000528820729772607,1,1
"+1",9,0.00158646218931782,0.00447761194029851,0.00894854586129754
"+44",11,0.000528820729772607,1,0.00223713646532438
"<http://www.mthreealumni.com/>",28,0.00793231094658911,0.000746268656716418,0.00223713646532438
"<http://www.mthreeconsulting.com/>",11,0.000528820729772607,1,0.00223713646532438
"<https://cibc.taleo.net/careersection/1/jobdetail.ftl?job=18010533&lang=en>",1,1,0.000746268656716418,1
